timestamp,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,ctrltargetZ.vx,ctrltargetZ.vy,ctrltargetZ.vz
1975944,0,0,0,0,0,0
1976044,0,0,0,0,0,0
1976144,0,0,0,0,0,0
1976244,0,0,0,0,0,0
1976344,0,0,0,0,0,0
1976444,0,0,0,0,0,0
1976543,0,0,0,0,0,0
1976643,0,0,0,0,0,0
1976743,0,0,0,0,0,0
1976843,0,0,0,0,0,0
1976943,-5,-3,1,0,0,47
1977043,-5,-3,15,0,0,274
1977143,-5,-3,59,0,0,629
1977243,-5,-3,139,0,0,952
1977345,-5,-3,242,0,0,1093
1977445,-5,-3,346,0,0,987
1977545,-5,-3,430,0,0,683
1977644,-5,-3,480,0,0,321
1977744,-5,-3,497,0,0,68
1977844,-5,-3,499,0,0,0
1977944,-5,-3,499,0,0,-1
1978044,-5,-3,499,2,0,-3
1978143,-5,-3,499,7,0,-5
1978244,-3,-3,498,15,0,-6
1978344,-1,-3,497,29,0,-7
1978444,2,-3,497,47,0,-8
1978543,7,-3,496,70,0,-9
1978643,16,-3,495,98,0,-9
1978743,27,-3,494,130,0,-9
1978843,42,-3,493,166,0,-9
1978943,60,-2,492,206,0,-9
1979043,83,-2,491,248,0,-8
1979143,109,-2,490,292,0,-8
1979243,140,-2,489,336,0,-7
1979343,176,-2,489,381,0,-6
1979443,216,-2,488,425,0,-5
1979543,260,-2,488,467,0,-3
1979643,308,-2,487,506,1,-2
1979743,360,-2,487,542,1,-1
1979843,415,-2,487,575,1,0
1979943,473,-2,487,602,1,1
1980043,534,-2,487,625,1,2
1980143,597,-1,488,642,1,3
1980243,661,-1,488,653,1,4
1980343,726,-1,489,658,1,5
1980443,791,-1,489,657,1,6
1980543,849,-1,490,651,1,6
1980643,913,-1,490,638,1,7
1980743,975,-1,491,619,1,7
1980843,1035,0,492,595,1,7
1980943,1093,0,493,567,1,7
1981043,1147,0,494,533,1,7
1981143,1198,0,494,496,1,7
1981243,1245,0,495,456,0,7
1981343,1288,0,496,413,0,6
1981443,1327,0,496,369,0,6
1981543,1362,0,497,325,0,5
1981643,1391,0,497,280,0,4
1981743,1417,0,498,237,0,4
1981843,1439,0,498,195,0,3
1981943,1456,0,499,157,0,2
1982043,1470,0,499,122,0,2
1982143,1480,0,499,90,0,1
1982243,1488,0,499,64,0,1
1982343,1493,0,499,42,0,0
1982443,1496,0,499,25,0,0
1982543,1498,0,499,13,0,0
1982643,1499,0,499,5,0,0
1982743,1499,0,499,1,0,0
1982843,1499,0,500,0,0,0
1982943,1499,0,499,0,0,-29
1983043,1499,0,488,0,0,-225
1983143,1499,0,449,0,0,-570
1983243,1499,0,375,0,0,-909
1983343,1499,0,275,0,0,-1086
1983443,1499,0,168,0,0,-1020
1983543,1499,0,80,0,0,-740
1983643,1499,0,25,0,0,-376
1983743,1499,0,3,0,0,-96
1983843,1499,0,0,0,0,-1
1983943,0,0,0,0,0,0
1984043,0,0,0,0,0,0
1984143,0,0,0,0,0,0
1984243,0,0,0,0,0,0
1984343,0,0,0,0,0,0
1984443,0,0,0,0,0,0
1984543,0,0,0,0,0,0
1984643,0,0,0,0,0,0
1984743,0,0,0,0,0,0
1984846,0,0,0,0,0,0
1984945,0,0,0,0,0,0
1985045,0,0,0,0,0,0
1985143,0,0,0,0,0,0
1985243,0,0,0,0,0,0
1985343,0,0,0,0,0,0
1985443,0,0,0,0,0,0
1985543,0,0,0,0,0,0
1985643,0,0,0,0,0,0
1985743,0,0,0,0,0,0
1985843,0,0,0,0,0,0
1985943,0,0,0,0,0,0
1986043,0,0,0,0,0,0
1986143,0,0,0,0,0,0
1986243,0,0,0,0,0,0
1986343,0,0,0,0,0,0
1986443,0,0,0,0,0,0
1986543,0,0,0,0,0,0
1986643,0,0,0,0,0,0
1986743,0,0,0,0,0,0
1986843,0,0,0,0,0,0
1986943,0,0,0,0,0,0
1987043,0,0,0,0,0,0
1987143,0,0,0,0,0,0
1987243,0,0,0,0,0,0
1987343,0,0,0,0,0,0
1987443,0,0,0,0,0,0
1987543,0,0,0,0,0,0
1987643,0,0,0,0,0,0
1987743,0,0,0,0,0,0
1987843,0,0,0,0,0,0
1987943,0,0,0,0,0,0
1988043,0,0,0,0,0,0
1988143,0,0,0,0,0,0
1988243,0,0,0,0,0,0
1988343,0,0,0,0,0,0
1988443,0,0,0,0,0,0
1988543,0,0,0,0,0,0
1988643,0,0,0,0,0,0
1988743,0,0,0,0,0,0
1988843,0,0,0,0,0,0
1988943,1539,73,2,0,0,3
1989043,1539,73,3,0,0,34
1989143,1539,73,10,0,0,108
1989243,1539,73,26,0,0,219
1989343,1539,73,54,0,0,349
1989443,1539,73,95,0,0,477
1989543,1539,73,148,0,0,580
1989643,1539,73,209,0,0,641
1989743,1539,73,273,0,0,650
1989843,1539,73,335,0,0,604
1989943,1539,73,391,0,0,513
1990045,1539,73,436,0,0,390
1990146,1539,73,468,0,0,258
1990245,1539,73,487,0,0,139
1990345,1539,73,497,0,0,53
1990445,1539,73,499,0,0,9
1990545,1539,73,500,0,0,0
1990643,1539,73,499,0,0,0
1990744,1539,73,499,-2,0,-1
1990844,1539,73,499,-8,0,-1
1990944,1537,73,499,-17,0,-2
1991044,1535,72,499,-31,-1,-2
1991144,1531,72,498,-51,-2,-3
1991243,1525,72,498,-75,-3,-3
1991343,1516,72,498,-104,-4,-3
1991443,1504,71,497,-137,-6,-3
1991543,1488,70,497,-175,-8,-3
1991643,1469,69,497,-215,-10,-3
1991743,1446,68,496,-259,-12,-3
1991843,1418,67,496,-304,-14,-3
1991943,1386,65,496,-349,-16,-2
1992043,1349,64,495,-395,-18,-2
1992143,1307,62,495,-439,-20,-1
