timestamp,ctrltargetZ.ax,ctrltargetZ.ay,ctrltargetZ.az
1975944,0,0,0
1976044,0,0,0
1976144,0,0,0
1976244,0,0,0
1976344,0,0,0
1976444,0,0,0
1976544,0,0,0
1976644,0,0,0
1976744,0,0,0
1976844,0,0,0
1976944,0,0,1304
1977044,0,0,3173
1977144,0,0,3724
1977244,0,0,2539
1977345,0,0,188
1977445,0,0,-2244
1977545,0,0,-3653
1977644,0,0,-3360
1977744,0,0,-1608
1977844,0,0,-33
1977944,8,0,-17
1978044,32,0,-16
1978144,68,0,-15
1978244,111,0,-13
1978344,159,0,-10
1978444,209,0,-8
1978544,258,0,-5
1978644,305,0,-3
1978744,347,0,0
1978844,383,0,2
1978944,413,0,4
1979044,434,0,6
1979144,447,0,8
1979244,452,0,9
1979344,448,0,11
1979444,435,0,12
1979544,413,0,12
1979644,384,0,13
1979744,347,0,13
1979844,303,0,12
1979944,254,0,12
1980044,200,0,11
1980144,142,0,10
1980244,82,0,9
1980344,20,0,8
1980444,-42,0,7
1980544,-104,0,5
1980644,-163,0,4
1980744,-220,0,2
1980844,-272,0,1
1980944,-320,0,0
1981044,-361,0,-1
1981144,-395,0,-2
1981244,-422,0,-4
1981344,-440,0,-5
1981444,-450,0,-5
1981544,-451,0,-6
1981644,-444,0,-6
1981744,-427,0,-6
1981844,-403,0,-6
1981946,-371,0,-6
1982046,-332,0,-6
1982146,-288,0,-5
1982246,-241,0,-4
1982344,-191,0,-3
1982444,-141,0,-2
1982544,-95,0,-1
1982644,-54,0,-1
1982744,-25,0,0
1982844,-4,0,0
1982944,0,0,-985
1983044,0,0,-2932
1983144,0,0,-3755
1983244,0,0,-2831
1983344,0,0,-603
1983444,0,0,1899
1983544,0,0,3534
1983644,0,0,3525
1983746,0,0,1731
1983846,0,0,68
1983946,0,0,0
1984046,0,0,0
1984146,0,0,0
1984246,0,0,0
1984346,0,0,0
1984444,0,0,0
1984544,0,0,0
1984644,0,0,0
1984746,0,0,0
1984846,0,0,0
1984945,0,0,0
1985046,0,0,0
1985145,0,0,0
1985244,0,0,0
1985344,0,0,0
1985444,0,0,0
1985544,0,0,0
1985644,0,0,0
1985744,0,0,0
1985844,0,0,0
1985944,0,0,0
1986044,0,0,0
1986144,0,0,0
1986244,0,0,0
1986344,0,0,0
1986444,0,0,0
1986544,0,0,0
1986644,0,0,0
1986744,0,0,0
1986844,0,0,0
1986944,0,0,0
1987044,0,0,0
1987144,0,0,0
1987244,0,0,0
1987344,0,0,0
1987444,0,0,0
1987544,0,0,0
1987644,0,0,0
1987744,0,0,0
1987844,0,0,0
1987944,0,0,0
1988044,0,0,0
1988144,0,0,0
1988244,0,0,0
1988344,0,0,0
1988444,0,0,0
1988544,0,0,0
1988644,0,0,0
1988744,0,0,0
1988844,0,0,0
1988944,0,0,131
1989044,0,0,527
1989144,0,0,954
1989244,0,0,1255
1989344,0,0,1344
1989444,0,0,1202
1989544,0,0,853
1989647,0,0,361
1989746,0,0,-191
1989846,0,0,-712
1989946,0,0,-1114
1990045,0,0,-1325
1990146,0,0,-1307
1990245,0,0,-1066
1990345,0,0,-664
1990445,0,0,-237
1990545,0,0,-6
1990644,-10,0,-6
1990744,-36,-1,-6
1990844,-74,-3,-5
1990944,-119,-5,-4
1991044,-168,-8,-3
1991144,-219,-10,-3
1991244,-270,-12,-2
1991344,-317,-15,-1
1991444,-359,-17,0
1991544,-396,-18,0
1991644,-425,-20,1
1991744,-446,-21,2
1991844,-459,-21,3
1991946,-462,-21,3
1992046,-457,-21,4
1992144,-442,-21,4
1992244,-419,-19,4
1992345,-388,-18,4
1992445,-350,-16,4
1992545,-305,-14,4
1992645,-254,-12,4
1992745,-198,-9,4
1992845,-138,-6,3
1992944,-76,-3,3
1993044,-13,0,3
1993144,50,2,2
1993244,113,5,2
1993344,174,8,1
1993444,231,11,0
1993544,284,13,0
1993644,332,15,0
1993744,373,17,0
1993844,408,19,-1
1993944,434,20,-1
1994044,452,21,-1
1994144,461,21,-2
1994244,461,21,-2
1994344,452,21,-2
1994444,435,20,-2
1994544,409,19,-2
1994644,375,17,-2
1994744,335,15,-2
1994844,289,13,-1
1994944,240,11,-1
1995044,189,9,-1
1995144,139,6,-1
1995244,92,4,0
1995344,51,2,0
1995444,19,0,0
1995544,0,0,0
1995644,0,0,-1375
1995744,0,0,-3220
1995844,0,0,-3710
1995944,0,0,-2472
1996044,0,0,-99
1996144,0,0,2316
1996244,0,0,3673
1996344,0,0,3319
1996444,0,0,1536
1996544,0,0,0
1996644,0,0,0
1996744,0,0,0
1996844,0,0,0
1996944,0,0,0
1997044,0,0,0
1997144,0,0,0
1997244,0,0,0
1997344,0,0,0
1997444,0,0,0
1997544,0,0,0
