timestamp,radio.rssi,radio.isConnected
308265,54,1
308365,55,1
308465,55,1
308565,55,1
308665,55,1
308765,55,1
308865,55,1
308965,55,1
309065,55,1
309165,56,1
309265,56,1
309365,56,1
309465,55,1
309565,54,1
309665,54,1
309765,56,1
309865,62,1
309965,69,1
310065,59,1
310165,58,1
310265,58,1
310365,61,1
310465,67,1
310565,68,1
310665,65,1
310765,68,1
310865,66,1
310965,62,1
311065,75,1
311165,63,1
311265,60,1
311365,60,1
311465,61,1
311565,61,1
311665,60,1
311765,61,1
311865,59,1
311965,57,1
312065,56,1
312165,61,1
312265,56,1
312365,56,1
312465,56,1
312565,62,1
312665,64,1
312765,60,1
312865,53,1
312965,57,1
313065,54,1
313165,57,1
313265,56,1
313365,56,1
313465,57,1
313565,61,1
313665,60,1
313765,63,1
313865,66,1
313965,61,1
314067,63,1
314167,63,1
314267,56,1
314366,58,1
314466,63,1
314566,55,1
314665,61,1
314765,56,1
314865,65,1
314965,63,1
315065,65,1
315165,73,1
315265,72,1
315365,69,1
315465,71,1
315565,73,1
315665,73,1
315765,69,1
315865,65,1
315965,56,1
316065,59,1
316165,54,1
316265,61,1
316365,61,1
316465,80,1
316565,70,1
316665,68,1
316765,68,1
316865,69,1
316965,69,1
317067,68,1
317167,68,1
317267,67,1
317367,66,1
317467,66,1
317567,65,1
317667,65,1
317766,66,1
317866,68,1
317966,69,1
318066,71,1
318167,70,1
318266,67,1
318367,67,1
318466,67,1
318566,69,1
318667,70,1
318766,71,1
318866,71,1
318966,71,1
319066,69,1
319166,69,1
319266,69,1
319366,67,1
319466,67,1
319566,67,1
319666,67,1
319766,69,1
319866,68,1
319966,68,1
320066,68,1
320166,69,1
320266,70,1
320366,69,1
320465,71,1
320566,71,1
320665,70,1
320765,71,1
320865,71,1
320965,70,1
321066,69,1
321166,69,1
321266,69,1
321366,68,1
321465,69,1
321565,70,1
321665,69,1
321765,67,1
321865,62,1
321965,61,1
322065,59,1
322165,62,1
322265,62,1
322365,62,1
322465,61,1
322565,63,1
322665,60,1
322765,68,1
322865,65,1
322965,62,1
323065,58,1
323165,63,1
323265,65,1
323365,61,1
323465,56,1
323565,55,1
323665,56,1
323765,56,1
323865,57,1
323965,54,1
324065,57,1
324165,57,1
324265,55,1
324365,55,1
324465,58,1
324565,58,1
324665,56,1
324765,58,1
324865,69,1
324965,62,1
325065,65,1
325165,56,1
325265,56,1
325365,61,1
325465,58,1
325565,58,1
325667,56,1
325767,59,1
325867,61,1
325967,55,1
326066,57,1
326166,53,1
326265,56,1
326365,56,1
326465,56,1
326565,61,1
326665,65,1
326765,63,1
326865,58,1
326965,65,1
327065,63,1
327165,60,1
327265,61,1
327365,58,1
327465,66,1
327565,56,1
327665,52,1
327765,52,1
327865,54,1
327965,55,1
328065,55,1
328165,56,1
328265,55,1
328365,55,1
328465,55,1
328565,61,1
328665,67,1
328765,57,1
328865,61,1
328965,58,1
329065,62,1
329165,54,1
329265,57,1
329365,57,1
329465,58,1
329565,56,1
329665,57,1
329765,56,1
329865,56,1
