timestamp,range.front,range.back,range.up,range.left,range.right,range.zrange
308266,0,0,0,0,0,3
308366,0,0,0,0,0,3
308466,0,0,0,0,0,3
308566,0,0,0,0,0,5
308666,0,0,0,0,0,2
308766,0,0,0,0,0,3
308866,0,0,0,0,0,4
308966,0,0,0,0,0,1
309066,0,0,0,0,0,6
309166,0,0,0,0,0,1
309266,0,0,0,0,0,3
309366,0,0,0,0,0,5
309466,0,0,0,0,0,4
309566,0,0,0,0,0,1
309666,0,0,0,0,0,0
309766,0,0,0,0,0,4
309866,0,0,0,0,0,41
309966,0,0,0,0,0,82
310066,0,0,0,0,0,158
310166,0,0,0,0,0,215
310266,0,0,0,0,0,272
310366,0,0,0,0,0,319
310466,0,0,0,0,0,385
310566,0,0,0,0,0,413
310666,0,0,0,0,0,447
310766,0,0,0,0,0,472
310866,0,0,0,0,0,480
310966,0,0,0,0,0,487
311066,0,0,0,0,0,499
311166,0,0,0,0,0,517
311266,0,0,0,0,0,530
311366,0,0,0,0,0,534
311466,0,0,0,0,0,530
311566,0,0,0,0,0,526
311666,0,0,0,0,0,514
311766,0,0,0,0,0,504
311866,0,0,0,0,0,505
311966,0,0,0,0,0,513
312066,0,0,0,0,0,518
312166,0,0,0,0,0,537
312266,0,0,0,0,0,548
312366,0,0,0,0,0,550
312466,0,0,0,0,0,554
312566,0,0,0,0,0,550
312666,0,0,0,0,0,551
312766,0,0,0,0,0,544
312866,0,0,0,0,0,540
312966,0,0,0,0,0,537
313069,0,0,0,0,0,533
313166,0,0,0,0,0,528
313266,0,0,0,0,0,530
313366,0,0,0,0,0,528
313466,0,0,0,0,0,524
313566,0,0,0,0,0,525
313666,0,0,0,0,0,524
313766,0,0,0,0,0,509
313866,0,0,0,0,0,509
313966,0,0,0,0,0,514
314068,0,0,0,0,0,524
314167,0,0,0,0,0,535
314267,0,0,0,0,0,542
314367,0,0,0,0,0,545
314466,0,0,0,0,0,547
314566,0,0,0,0,0,536
314666,0,0,0,0,0,520
314766,0,0,0,0,0,486
314866,0,0,0,0,0,476
