timestamp,gyro.xRaw,gyro.yRaw,gyro.zRaw
153858,-1,4,4
153958,1,11,-1
154058,1,0,-6
154158,-1,2,4
154258,-5,7,6
154358,2,3,4
154458,-1,1,1
154558,1,8,6
154658,-7,7,1
154758,0,9,-1
154858,-20,52,-58
154958,-10,40,221
155058,109,16,129
155158,808,23,-223
155258,202,-57,-170
155358,-301,-103,-199
155458,-302,46,-161
155558,-74,-36,-145
155658,42,57,-132
155758,-329,351,-71
155858,-203,5,-32
155958,11,-23,-25
156058,-63,-47,-33
156158,5,-126,-19
156258,140,-184,1
156358,258,-61,-13
156458,45,-58,-14
156558,42,-78,-18
156658,-31,-194,2
156758,38,-127,7
156858,127,687,10
156958,-71,104,-7
157058,87,61,33
157158,66,83,-3
157258,-148,18,-1
157358,-43,-7,-14
157458,-18,-51,1
157558,-40,-66,-1
157658,1,-6,-7
157758,-23,-26,4
157858,78,151,7
157958,78,171,2
158058,65,109,14
158158,-94,-328,-14
158258,213,508,-14
158358,45,39,-31
158458,-181,-158,-22
158558,-143,-265,7
158658,-1,-126,16
158758,-14,-89,41
158858,4,256,21
158958,45,170,0
159058,85,-541,-2
159158,-11,-228,0
159258,-51,-91,-4
159358,-20,-95,-17
159459,-26,81,-4
159560,36,145,1
159658,101,30,21
159758,61,-138,9
159858,-19,78,-6
159959,66,1,16
160059,-96,186,18
160159,-43,16,12
160258,16,-149,-11
160358,-14,-113,-10
160458,-58,-6,-5
160558,52,-142,3
160658,41,-55,33
160758,142,-383,9
160858,-38,109,-2
160958,7,400,-4
161058,40,184,-5
161158,-41,87,-21
161258,-134,124,-5
161358,-550,-350,-62
161458,62,436,-34
161558,-80,-33,-18
161658,120,-167,-1
161758,210,44,43
161858,200,-38,28
161958,-175,237,-35
162058,-3481,443,-314
162158,7036,-2862,-1767
162258,-333,698,886
162358,20,13,-168
162458,-6,4,114
162558,17,1,-27
162658,-5,4,8
162758,5,4,14
162858,2,6,14
162958,4,-2,-4
163058,-4,1,4
163158,1,4,-1
163258,0,1,8
163358,1,-1,2
163458,-1,8,3
163558,4,3,4
163658,2,7,0
163758,-4,7,4
163858,2,12,-3
163958,1,4,2
164058,3,8,3
164158,3,9,5
164258,-1,1,-3
164358,-2,0,4
164458,1,1,-1
164558,0,2,6
164658,1,11,3
164758,4,0,1
164858,0,10,3
164958,0,4,0
165058,3,10,-5
165158,4,3,-2
165258,2,1,1
165358,2,2,3
165458,1,1,-3
165558,3,8,3
165658,0,6,-5
165761,-4,7,4
165858,3,2,2
165961,-2,2,-4
166061,3,5,1
166158,2,3,3
166261,2,5,-4
166360,2,3,4
166461,1,4,3
166561,2,10,1
166658,2,-2,-2
166758,0,-4,3
166860,12,-2,-33
166960,-95,90,3
167061,-24,-1007,-84
167160,1079,-321,154
167260,-301,1308,96
167361,-237,-26,-74
167458,-292,409,-3
167561,-594,-98,25
167660,175,302,-4
167761,13,-37,-108
167858,127,669,-56
167958,115,-569,-26
168058,158,-415,30
168160,-310,-657,-3
168259,175,-497,11
168359,26,-39,-7
168459,-15,499,0
168559,158,111,-21
168658,186,-384,-10
168758,-177,1066,22
168858,-29,162,-13
168958,53,-247,2
169058,-3,-76,17
169158,99,-375,8
169258,109,-273,-25
169358,-144,280,-17
169458,-552,1283,2
169558,19,-11,33
169658,-60,294,-21
169758,121,-508,-1
169858,252,-691,-26
169958,178,-493,-23
170058,75,-403,-4
170158,37,-411,-3
170258,239,-563,-4
170358,180,-154,-10
170458,-535,1789,12
170558,-103,561,-8
170658,-138,53,-21
170758,43,-71,-36
170858,-227,367,-18
170958,-32,-38,-10
171058,145,-207,-11
171158,84,-158,-14
171258,47,-187,-24
171358,81,-111,-35
171458,19,14,-29
171560,-69,119,-29
171660,-58,193,-14
171760,4,182,12
171859,-38,123,10
171959,-7,70,8
172059,-2,104,-6
172160,-20,0,3
172258,-18,-149,7
172358,-26,-208,8
172460,41,-89,2
172560,315,790,15
172659,69,403,-7
172759,-123,-41,17
172860,-125,-115,-5
172959,-42,-92,-9
173059,-48,-212,17
173160,-57,-144,17
173259,-21,-64,14
173359,-14,-43,14
173459,100,25,7
173560,91,-33,24
173659,-33,21,27
173760,-64,98,-5
173859,36,39,1
173959,35,-71,13
174059,-37,-5,-6
174159,40,-90,-27
174259,-63,-87,-1
174359,49,-68,-34
174459,13,-113,-13
174559,28,-46,73
174659,104,-97,172
174759,-5224,-220,-570
174859,849,-560,113
174959,9971,218,-292
175059,-111,-12,125
175159,64,-38,56
175258,12,-16,111
175359,15,-1,-55
175459,5,5,10
