timestamp,motion.motion,motion.deltaX,motion.deltaY,motion.shutter,motion.maxRaw,motion.minRaw,motion.Rawsum,motion.outlierCount,motion.squal,motion.std
183278,176,0,-1,2627,255,64,57,1,61,2.0
183378,48,0,0,2425,71,60,39,1,9,2.0
183478,176,7,21,2715,255,70,79,1,68,2.0
183578,176,-1,-3,2518,255,68,74,1,64,2.0
183678,176,-5,-5,2489,73,60,39,1,12,2.0
183778,176,1,6,2451,200,62,47,1,27,2.0
183878,176,-1,5,2432,255,68,72,1,62,2.0
183978,176,-1,-1,2404,255,70,79,1,61,2.0
184078,176,-4,-3,2682,75,61,40,1,11,2.0
184178,176,3,0,2486,255,67,73,1,64,2.0
184278,176,-9,-14,2784,77,61,40,1,16,2.0
184378,176,-32,-10,2570,72,60,39,1,13,2.0
184478,176,-1,22,2878,255,70,76,1,55,2.0
184578,176,-5,3,2656,255,72,78,1,45,2.0
184678,176,6,14,1894,88,68,46,1,28,2.0
184778,176,0,4,1628,114,77,59,1,98,2.0
184878,176,-7,0,1328,251,85,73,1,126,2.0
184978,176,-14,1,1481,220,94,79,1,123,2.0
185078,176,-3,6,1885,190,101,86,1,110,2.0
185178,176,-5,1,1987,200,84,84,1,101,2.0
185278,176,-1,0,1963,219,90,91,1,121,2.0
185378,176,-4,-6,2078,212,90,88,1,118,2.0
185478,176,0,-1,2054,219,91,90,1,104,2.0
185578,176,2,-2,1919,226,93,93,1,99,2.0
185678,176,0,-3,2030,203,86,84,1,86,2.0
185778,48,0,0,2022,216,91,91,1,95,2.0
185878,176,-2,0,2014,221,91,92,1,99,2.0
185978,176,-2,0,1998,211,90,89,1,98,2.0
186078,176,0,-2,1982,217,93,91,1,96,2.0
186178,48,0,0,2218,213,89,88,1,94,2.0
186278,48,0,0,2064,229,96,94,1,94,2.0
186378,48,0,0,2047,223,94,91,1,97,2.0
186478,176,0,-1,2039,203,91,85,1,90,2.0
186578,176,1,0,2015,227,97,93,1,96,2.0
186678,48,0,0,2115,206,91,85,1,90,2.0
186778,176,0,-2,2091,218,95,89,1,95,2.0
186878,176,0,-1,1953,225,95,90,1,99,2.0
186978,176,0,-1,2051,201,89,81,1,86,2.0
187078,176,0,-9,2027,226,96,88,1,94,2.0
187178,176,0,-4,2279,214,96,84,1,104,2.0
187278,176,2,-1,2411,216,100,87,1,113,2.0
187378,176,-1,-7,2700,227,109,97,1,121,2.0
187478,176,0,1,3023,199,107,90,1,120,2.0
187578,176,-2,-4,2802,218,109,94,1,121,2.0
187678,176,0,-2,3322,184,101,84,1,117,2.0
187778,176,0,-1,3284,220,115,99,1,117,2.0
187878,176,0,-8,3055,225,116,101,1,116,2.0
187978,176,1,-4,3209,203,106,91,1,120,2.0
188078,176,1,-12,3171,221,114,99,1,118,2.0
188178,176,0,-5,3538,191,103,88,1,111,2.0
188278,176,1,-5,3074,230,116,101,1,118,2.0
188378,176,0,-8,3015,235,119,103,1,122,2.0
188480,176,0,-4,2968,199,104,89,1,118,2.0
188580,176,1,-5,2922,222,111,100,1,120,2.0
188679,176,0,-3,2549,192,95,81,1,104,2.0
188779,176,0,-8,2353,213,100,90,1,108,2.0
188879,176,0,-1,2335,223,102,95,1,103,2.0
188979,48,0,0,2452,191,93,84,1,87,2.0
189078,176,0,-6,2423,224,103,100,1,99,2.0
189179,176,0,-1,2524,189,93,89,1,86,2.0
189279,48,0,0,2203,208,106,94,1,86,2.0
189379,176,1,-1,2058,219,105,95,1,80,2.0
189478,176,1,-1,2034,186,91,79,1,73,2.0
189578,176,-3,1,2010,217,100,93,1,87,2.0
189678,176,-1,0,1994,193,94,84,1,81,2.0
189779,48,0,0,1847,200,86,86,1,85,2.0
189878,176,1,-10,1939,227,96,95,1,115,2.0
189978,176,1,0,2180,186,85,80,1,101,2.0
190078,176,-1,0,2036,217,95,91,1,109,2.0
190178,176,0,6,2012,197,87,84,1,113,2.0
190278,176,1,5,1980,194,89,84,1,94,2.0
190378,176,0,2,2070,230,101,98,1,100,2.0
190478,176,-1,0,2182,190,88,81,1,90,2.0
190578,176,0,-4,2022,219,95,92,1,93,2.0
190678,176,0,-8,1998,185,85,81,1,85,2.0
190778,176,-3,-8,1976,182,86,81,1,87,2.0
190878,176,0,1,1946,226,98,99,1,102,2.0
190978,176,-10,-1,1923,196,88,84,1,101,2.0
191078,176,9,1,2027,224,94,93,1,116,2.0
191178,176,-2,-3,1995,190,99,83,1,105,2.0
191278,176,-3,0,1436,215,84,72,1,113,2.0
191378,48,0,0,1409,97,65,48,1,63,2.0
191478,176,21,2,1220,255,70,78,1,75,2.0
191578,176,-6,-7,1286,255,60,45,1,27,2.0
191678,176,-3,-9,1637,65,58,37,1,9,2.0
191778,176,-5,13,2084,255,65,55,1,35,2.0
191878,176,-8,0,2352,255,66,55,1,29,2.0
191978,176,0,-1,2996,255,72,68,1,44,2.0
192078,176,0,-4,3592,255,73,69,1,44,2.0
192178,48,0,0,4290,255,77,75,1,49,2.0
192278,176,4,0,3975,255,77,79,1,52,2.0
192378,48,0,0,4157,75,63,41,1,11,2.0
192478,176,2,0,4108,255,75,72,1,51,2.0
192578,176,0,-3,4330,255,75,75,1,51,2.0
192678,176,2,0,3778,255,71,63,1,41,2.0
192778,176,3,-10,4213,255,76,74,1,53,2.0
192878,48,0,0,3920,255,75,72,1,49,2.0
192978,176,0,-5,3875,255,78,78,1,61,2.0
193078,176,0,1,4069,255,71,63,1,40,2.0
193178,176,-1,5,4037,255,69,58,1,38,2.0
193278,176,0,-3,3990,255,78,79,1,58,2.0
193380,176,1,5,4207,76,64,42,1,11,2.0
193480,176,0,1,4158,255,72,69,1,42,2.0
193580,176,0,-1,4383,255,77,76,1,48,2.0
193680,48,0,0,3824,255,75,72,1,47,2.0
193780,176,1,0,4285,255,76,74,1,53,2.0
193878,176,-1,-6,3986,255,76,73,1,50,2.0
193979,176,5,-1,3693,255,76,74,1,47,2.0
194078,176,-4,21,4151,255,75,73,1,53,2.0
194179,48,0,0,4103,255,76,74,1,51,2.0
194279,176,-1,-1,4039,255,79,80,1,56,2.0
194379,176,-4,7,3976,75,63,41,1,11,2.0
194479,48,0,0,4192,255,76,74,1,51,2.0
194578,176,-2,-4,3900,255,77,76,1,53,2.0
194678,48,0,0,4348,76,63,42,1,11,2.0
194778,176,-2,3,4046,255,69,57,1,32,2.0
194879,176,4,0,4265,255,78,75,1,51,2.0
194979,176,-3,-3,3720,255,68,54,1,29,2.0
195078,176,3,1,4166,255,76,73,1,52,2.0
195179,176,-1,-2,3874,255,76,72,1,45,2.0
