timestamp,motor.m1,motor.m2,motor.m3,motor.m4
183279,0,0,0,0
183379,0,0,0,0
183479,0,0,0,0
183579,0,0,0,0
183679,0,0,0,0
183779,0,0,0,0
183879,0,0,0,0
183979,0,0,0,0
184079,0,0,0,0
184179,0,0,0,0
184279,34895,33139,36457,38993
184379,36577,29321,37523,42495
184479,38919,37173,38615,38373
184579,39032,43370,43884,40738
184679,46079,45339,45361,42389
184779,49341,51951,45763,38493
184879,46812,46724,45922,41982
184979,41466,44224,45878,40528
185079,39946,43320,42670,36564
185179,38631,39515,40035,35523
185279,36826,38460,40526,35820
185379,37499,39833,40231,35213
185479,38626,40822,40230,34710
185579,38567,40343,39391,34179
185679,36876,42108,41334,34906
185779,37220,40420,41370,35886
185879,43365,43557,44203,40803
185979,41152,43322,43492,38114
186079,38615,41077,42397,35775
186179,38590,41328,41154,34656
186279,39358,40682,41390,37058
186379,40242,42130,41684,36692
186479,40193,42343,43303,36201
186579,40036,42428,43610,37006
186679,40943,42479,42407,37663
186779,41075,42185,42003,37357
186879,40478,42310,41792,36964
186979,39835,42801,42795,36633
187079,40392,42196,41460,37164
187179,35963,42393,41741,33803
187279,37001,39039,38639,34145
187379,39957,41919,41047,37057
187479,43292,45168,44590,39654
187579,40660,54548,53806,35442
187679,43206,42688,42134,38764
187779,38962,39800,40708,36110
187879,37434,42884,43268,34318
187982,40153,41421,43251,36291
188081,39169,42049,43045,35789
188181,39095,41747,43021,34897
188280,39822,41610,42720,34596
188380,39165,42329,42699,35271
188481,39241,41351,43441,36859
188580,39349,42623,43207,36305
188679,38032,42042,43114,36104
188779,39314,43358,43980,36544
188879,40580,43142,43734,37636
188979,40144,42074,42762,36736
189079,40567,42123,42559,37199
189179,37809,43803,43427,32717
189279,38658,42460,42920,35098
189379,40332,41546,42006,37112
189479,40316,43090,42866,36392
189579,44434,47684,48898,41028
189679,42938,46584,46866,39044
189779,41423,35305,31343,34665
189879,32489,42489,41491,26395
189979,36084,42640,48624,36024
190079,42682,42628,44234,41512
190179,39685,32415,33497,37535
190279,33714,45454,42274,28006
190379,40815,40641,41169,38831
190479,40611,40581,40041,36695
190579,36597,39231,38967,32189
190679,34923,35605,37855,30741
190779,34413,34913,35151,28179
190879,35103,34157,37609,30927
190979,39941,39353,43653,37353
191079,46995,48861,48423,42657
191179,44964,40736,38886,43174
191279,0,0,0,0
191379,0,0,0,0
191479,0,0,0,0
191579,0,0,0,0
191679,0,0,0,0
191779,0,0,0,0
191879,0,0,0,0
191979,0,0,0,0
192079,0,0,0,0
192179,0,0,0,0
192279,0,0,0,0
192379,0,0,0,0
192479,0,0,0,0
192579,0,0,0,0
192679,0,0,0,0
192779,0,0,0,0
192882,0,0,0,0
192982,0,0,0,0
193081,0,0,0,0
193181,0,0,0,0
193279,0,0,0,0
193381,0,0,0,0
193481,0,0,0,0
193580,0,0,0,0
193680,0,0,0,0
193780,0,0,0,0
193879,0,0,0,0
193979,0,0,0,0
194079,0,0,0,0
194179,0,0,0,0
194279,0,0,0,0
194379,0,0,0,0
194479,0,0,0,0
194579,0,0,0,0
194679,0,0,0,0
194779,0,0,0,0
194879,0,0,0,0
194979,0,0,0,0
195079,0,0,0,0
195179,0,0,0,0
195279,0,0,0,0
195381,0,0,0,0
195480,0,0,0,0
195579,0,0,0,0
195679,0,0,0,0
195779,0,0,0,0
195879,0,0,0,0
195979,0,0,0,0
196079,0,0,0,0
196179,0,0,0,0
196279,37359,33581,32771,37625
196379,37123,34619,35493,37709
196479,42905,32319,36407,35957
196579,43373,41201,36755,27879
196679,33947,40757,42733,33759
196779,52969,46201,35479,38483
196879,43629,34961,62437,38713
196979,31468,39172,39350,30894
197079,44907,43303,34701,37981
197179,39081,39149,46795,47187
197279,36814,45292,42202,31708
197379,45992,45290,43576,40942
197479,40431,43609,47539,40853
197579,42062,43924,42922,36896
197679,44489,46025,45227,39163
197779,44232,45040,47106,41578
197879,44132,35026,28972,33622
197979,30391,38213,40127,29317
198079,28027,36199,37163,23999
198179,36731,35681,35331,31121
198279,40549,38569,41629,39965
198379,42271,46333,47089,38723
198479,43286,44414,43836,38456
198579,41609,42737,42523,38027
198679,40179,41947,42339,36475
198779,40264,40880,40046,36462
198879,37654,40396,42192,36458
198979,43056,40690,38352,36590
199079,43714,41796,40232,38362
199179,45077,47703,48329,41523
199279,45656,46882,47110,40736
199379,41494,26300,32582,43680
199479,39083,40051,38925,33681
199579,39125,41841,44413,37737
199679,41729,26309,32423,43415
199779,38418,43626,39896,30656
199879,40413,43569,42747,37027
199979,41742,40818,41942,40698
200079,40472,42136,42558,39054
200179,43689,44201,41999,40131
200279,38091,44667,41547,34979
200379,39799,42661,39795,35389
200479,42560,40278,39382,40068
200579,41111,40553,40861,39403
200679,42102,41904,40592,38334
200779,41820,42142,40662,38256
200879,41425,41227,39401,39315
200979,40408,40866,40200,39270
201079,40740,40792,40244,38688
201179,40969,40215,39919,38601
201279,40983,41081,40163,37877
201379,41579,40765,39109,38295
201479,39539,40991,39935,37799
201579,39658,40792,40714,37708
201679,41412,40002,40204,38634
201779,40697,40213,39739,37023
201879,37914,39126,39794,34306
201979,38801,39381,37755,34655
202079,39657,46673,47281,39717
202179,44884,45092,45932,41440
202279,44971,40393,40509,42123
202379,40628,38632,40926,39450
202481,36736,40366,42858,35504
202579,38924,39426,41298,37436
202681,40128,40436,41054,37058
202781,39902,40668,41432,36354
202881,39990,41678,41830,37374
202981,39915,41311,42585,37353
203080,38014,39792,43340,37382
203180,37138,38060,40160,34994
203280,36844,37130,36392,32086
203380,33884,32814,34168,32842
203479,34558,36202,33564,29112
203579,34812,36866,35816,32378
203679,37917,39781,39527,38943
203779,40607,45859,44481,41581
203879,44314,51232,44122,41312
203979,0,0,0,0
204079,0,0,0,0
204179,0,0,0,0
204279,0,0,0,0
204379,0,0,0,0
204479,0,0,0,0
204579,0,0,0,0
204679,0,0,0,0
204779,0,0,0,0
