timestamp,pid_rate.yaw_outP,pid_rate.yaw_outI,pid_rate.yaw_outD
210185,96507.3515625,26.861215591430664,0.0
210285,95919.6328125,26.697633743286133,0.0
210385,95788.09375,26.661022186279297,0.0
210485,95766.15625,26.65491485595703,0.0
210585,96355.828125,26.819040298461914,0.0
210685,96307.703125,26.805646896362305,0.0
210785,96531.390625,26.867908477783203,0.0
210885,97034.7265625,27.00800132751465,0.0
210985,97335.984375,27.09185028076172,0.0
211085,97693.296875,27.19130516052246,0.0
211185,-96.010498046875,-0.3299145996570587,-0.0
211285,-921.1057739257812,-4.868008613586426,0.0
211385,-850.71533203125,-28.35811996459961,0.0
211485,1081.2808837890625,-48.9791259765625,0.0
211585,-753.0533447265625,-54.03266906738281,0.0
211685,-531.478271484375,-63.62641525268555,0.0
211785,-772.4862670898438,-70.67969512939453,0.0
211885,-782.0120849609375,-83.3623275756836,0.0
211985,-667.8071899414062,-95.17073822021484,0.0
212085,-691.0655517578125,-106.7001953125,0.0
212185,-661.974609375,-114.40168762207031,0.0
212285,-134.9412841796875,-120.8449935913086,0.0
212385,-298.90057373046875,-126.36155700683594,0.0
212485,-463.07696533203125,-132.8969268798828,0.0
212585,-547.2084350585938,-139.32122802734375,-0.0
212685,-605.0811767578125,-146.58201599121094,0.0
212785,-544.3622436523438,-154.1480712890625,-0.0
212885,-123.16947174072266,-161.1092987060547,0.0
212985,-39.3315544128418,-165.08363342285156,0.0
213085,-42.81618118286133,-168.79116821289062,0.0
213185,-343.1468811035156,-172.42759704589844,-0.0
213285,-301.9063415527344,-177.46998596191406,0.0
213385,-452.4619140625,-183.05142211914062,0.0
213485,-712.9109497070312,-189.04759216308594,-0.0
213585,-428.95465087890625,-195.2547149658203,0.0
213685,-738.643310546875,-202.1820068359375,-0.0
213785,-77.70133209228516,-207.977294921875,0.0
213885,-311.73681640625,-212.20030212402344,0.0
213985,-217.68222045898438,-216.6529541015625,0.0
214085,-435.9924621582031,-221.9448699951172,-0.0
214185,-377.44464111328125,-228.03341674804688,0.0
214285,-337.45941162109375,-233.29901123046875,-0.0
214385,-434.8828430175781,-237.8079071044922,-0.0
214485,-385.272705078125,-243.28515625,0.0
214585,-457.255615234375,-248.6558380126953,-0.0
214685,-457.0561218261719,-256.2395935058594,0.0
214785,-669.2449340820312,-265.04754638671875,-0.0
214885,-606.2791137695312,-274.430419921875,-0.0
214985,-547.0680541992188,-282.2359313964844,-0.0
215085,-473.5460205078125,-288.205322265625,0.0
215185,-542.2197875976562,-294.76055908203125,-0.0
215285,-784.9111328125,-303.6133728027344,0.0
215385,-883.0267944335938,-316.0865478515625,0.0
215485,-1028.624267578125,-330.0749206542969,-0.0
215585,-890.33984375,-342.8676452636719,-0.0
215685,-881.0787963867188,-355.51141357421875,-0.0
215785,-855.8546142578125,-368.44183349609375,0.0
215887,-843.9315185546875,-379.8315124511719,-0.0
215987,-770.496337890625,-391.0868835449219,0.0
216087,-749.7938232421875,-402.2624206542969,0.0
216186,-690.4479370117188,-413.2345886230469,0.0
216287,-509.1519775390625,-421.34259033203125,0.0
216386,-460.5413818359375,-427.2123107910156,0.0
216487,-470.99505615234375,-433.6318054199219,0.0
216586,-393.9862976074219,-440.7731018066406,0.0
216686,-826.9027099609375,-451.7852783203125,0.0
216785,-591.2987670898438,-461.4828186035156,-0.0
216885,-473.38616943359375,-468.1781311035156,-0.0
216985,-467.037841796875,-471.7065124511719,-0.0
217085,-193.73190307617188,-475.2418212890625,0.0
217185,-312.71295166015625,-477.5542297363281,0.0
217285,-350.0565490722656,-483.83917236328125,0.0
217386,-178.4408416748047,-485.1247253417969,-0.0
217485,-124.3936996459961,-487.77972412109375,0.0
217585,-171.25474548339844,-489.63037109375,0.0
217685,-325.60101318359375,-491.215576171875,-0.0
217785,-264.09051513671875,-496.2257995605469,0.0
217885,-747.2740478515625,-504.4725341796875,0.0
217985,-845.984375,-516.7868041992188,0.0
218085,-1366.2762451171875,-534.4340209960938,0.0
218185,-38953.66015625,-10.842103004455566,-0.0
218285,-101028.671875,-28.119647979736328,-0.0
218385,60698.09375,16.894304275512695,0.0
218485,92058.546875,25.62296485900879,0.0
218585,85547.4921875,23.810720443725586,0.0
218685,83236.1328125,23.167394638061523,0.0
218785,81697.4765625,22.739133834838867,0.0
218885,81068.0859375,22.56395149230957,0.0
218985,80359.3203125,22.366680145263672,0.0
219088,80109.4140625,22.297121047973633,0.0
219188,79755.421875,22.19859504699707,0.0
219287,79106.1796875,22.01788902282715,0.0
219387,78771.5,21.92473602294922,0.0
219486,78387.28125,21.81779670715332,0.0
219586,77680.9765625,21.62120819091797,0.0
219686,77367.2421875,21.53388214111328,0.0
219786,77313.7890625,21.519004821777344,0.0
219887,77002.5546875,21.4323787689209,0.0
219986,77181.703125,21.482242584228516,0.0
220086,77561.0546875,21.58782958984375,0.0
220186,76596.2734375,21.319297790527344,0.0
220286,75933.625,21.13486099243164,0.0
220386,75694.8125,21.068389892578125,0.0
220486,75863.421875,21.11532211303711,0.0
220586,75393.921875,20.984642028808594,0.0
220686,75809.34375,21.100269317626953,0.0
220786,76101.109375,21.18147850036621,0.0
220886,76397.625,21.264005661010742,0.0
220986,76632.78125,21.32946014404297,0.0
221086,76415.375,21.26894760131836,0.0
221186,76090.484375,21.17852020263672,0.0
221286,76105.625,21.1827335357666,0.0
221386,76183.5625,21.20442771911621,0.0
221486,76115.328125,21.185434341430664,0.0
221586,76070.28125,21.172897338867188,0.0
221686,76365.03125,21.254934310913086,0.0
221786,76714.8515625,21.35230255126953,0.0
221885,76879.859375,21.398229598999023,0.0
221986,76582.2109375,21.315383911132812,0.0
222086,76237.3515625,21.219398498535156,0.0
222186,76095.296875,21.179861068725586,0.0
222286,76192.8671875,21.207015991210938,0.0
222386,75858.78125,21.114028930664062,0.0
222486,75790.203125,21.094942092895508,0.0
222586,75812.7734375,21.101224899291992,0.0
222686,76088.4375,21.177949905395508,0.0
222786,76091.2734375,21.17873764038086,0.0
222885,76125.4296875,21.18824577331543,0.0
222986,76205.1640625,21.210439682006836,0.0
223085,76130.21875,21.189579010009766,0.0
223185,332.09954833984375,0.058020662516355515,0.0
223286,979.1152954101562,1.3520394563674927,-0.0
223385,-675.8407592773438,4.837756156921387,-0.0
223485,-484.017333984375,-8.659704208374023,-0.0
