timestamp,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
69466,0,0,0,0
69566,0,0,0,0
69666,0,0,0,0
69766,0,0,0,0
69866,0,0,0,0
69966,0,0,0,0
70066,0,0,0,0
70166,0,0,0,0
70266,0,0,0,0
70366,0,0,0,0
70466,46991,44372,44661,46704
70566,46790,43739,43980,46495
70666,45605,41922,45337,48049
70766,51225,49369,46899,44311
70866,55908,55202,44884,43066
70966,52648,54509,54969,50124
71066,53803,55629,53000,50474
71166,51235,53078,51995,48280
71266,49236,50524,51944,46868
71366,49127,47428,49153,45562
71466,46925,47177,47168,44381
71566,47486,48756,46814,42085
71666,47174,48303,46982,43093
71766,47731,48951,47891,43796
71866,48294,49042,48345,44377
71966,47656,48747,49128,44961
72066,48112,49537,49424,44540
72166,48772,49517,49585,45243
72266,48894,49388,49437,45693
72366,49311,49076,49612,45944
72466,47945,48571,50282,46116
72566,49099,48854,49372,45719
72666,48417,49866,49886,44816
72766,47647,47766,47968,44374
72866,49352,47506,47448,46513
72966,47681,50604,51073,45078
73066,51412,52243,52620,48812
73166,49693,51191,50862,46125
73266,48112,49813,50002,45058
73366,48152,49392,49602,44860
73468,47216,49728,50369,44669
73566,47949,49195,49647,45111
73668,46069,47088,47528,43160
73768,46130,48573,47942,42811
73868,55180,52733,51292,51101
73968,50883,53947,54637,48599
74068,48225,52084,52571,45652
74168,47682,50049,50159,45035
74267,46953,49172,49110,43904
74368,47627,49883,49851,44868
74466,47928,49716,49955,44538
74566,45341,48225,48681,42462
74666,47425,48538,49103,44487
74766,49570,51353,51197,46218
74866,50273,52149,51926,46381
74966,52534,53714,54109,49527
75066,49077,52913,53677,47167
75166,48196,50383,50311,45103
75266,47379,49186,49681,44790
75366,46085,48078,48671,43495
75466,47930,49552,50317,45654
75566,49558,50970,50986,46181
75666,48683,50541,50055,45681
75766,48006,50289,51141,45643
75866,48873,50761,51273,45872
75966,48834,49915,51246,46484
76066,49434,50615,50373,46152
76166,49227,50294,50444,46500
76266,49623,49377,50316,48049
76366,49088,50264,50813,46876
76466,50217,50678,50259,47123
76566,48491,50608,51024,46726
76666,48993,49843,48933,45909
76766,48318,48002,48245,44624
76866,47831,47096,49380,45750
76966,43523,43622,45452,40140
77066,35924,37825,42831,36141
77166,43013,42983,44134,40159
77266,48527,45188,41386,42822
77366,53716,54082,51520,48410
77466,0,0,0,0
77566,0,0,0,0
77666,0,0,0,0
77766,0,0,0,0
77866,0,0,0,0
77966,0,0,0,0
78066,0,0,0,0
78166,0,0,0,0
