timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz
69528,0,1,0,7,65,0
69628,0,0,0,27,28,0
69728,0,0,0,11,-36,0
69828,0,-1,0,16,-99,1
69928,0,-2,0,2,-70,2
70028,0,-1,0,-21,-55,2
70128,0,0,0,0,-24,0
70228,0,0,0,9,-2,0
70328,0,0,0,-17,23,0
70428,0,-1,0,25,-70,1
70528,0,0,0,33,-46,4
70628,0,0,0,25,-13,-4
70728,-1,2,0,-10,73,-7
70828,-3,6,0,-12,232,33
70928,-8,5,9,-50,107,128
71028,-16,-3,31,-14,-12,294
71128,-26,-20,73,-38,-139,474
71230,-38,-39,127,-53,-167,575
71330,-49,-53,183,-45,-97,601
71430,-57,-60,242,-14,-14,581
71530,-60,-62,297,28,34,509
71629,-62,-55,344,42,85,420
71730,-59,-46,382,68,107,326
71829,-52,-36,412,92,119,252
71929,-44,-26,438,104,112,209
72028,-33,-15,456,113,97,154
72129,-22,-7,469,112,74,115
72230,-12,-1,480,102,48,92
72329,-3,1,491,74,27,80
72429,4,3,498,69,12,71
72529,12,4,504,73,4,50
72628,25,0,510,112,-16,51
72728,42,-1,519,145,-8,66
72828,36,4,524,64,21,45
72928,46,4,527,92,12,6
73030,64,11,510,153,26,-77
73129,84,13,506,215,14,-18
73229,111,14,508,286,0,47
73329,144,14,511,336,-2,58
73428,185,10,522,391,-19,64
73529,232,6,523,454,-31,26
73629,295,0,535,569,-43,63
73728,360,-6,550,600,-40,65
73828,369,4,518,386,15,-131
73928,409,6,504,381,25,-118
74028,453,9,499,436,23,-15
74128,503,10,509,526,7,86
74228,565,10,517,619,-8,97
74328,633,9,525,692,-19,68
74428,707,7,530,736,-26,24
74528,784,0,547,783,-47,94
74628,865,-4,558,784,-40,50
74728,940,-7,552,726,-22,-50
74828,992,-3,542,596,8,-68
74928,1045,0,526,528,24,-89
75028,1077,2,509,437,24,-47
75128,1124,4,511,453,12,64
75228,1174,6,516,481,5,91
75328,1223,4,532,483,-4,113
75428,1270,1,537,474,-14,40
75528,1318,0,535,451,-18,-24
75628,1357,-1,536,380,2,-7
75728,1394,-3,538,329,2,14
75828,1426,-6,539,277,1,0
75928,1453,-9,538,226,-5,-1
76028,1476,-12,535,181,-2,-12
76128,1494,-16,534,139,-5,2
76228,1508,-18,535,91,9,10
76328,1517,-21,535,66,11,5
76428,1523,-22,533,35,17,-2
76528,1527,-23,534,45,9,0
76628,1528,-24,535,26,18,-4
76728,1527,-16,529,-6,32,-58
76828,1521,-10,506,-19,12,-180
76928,1515,-5,484,-46,28,-225
