timestamp,stateEstimateZ.ax,stateEstimateZ.ay,stateEstimateZ.az,stateEstimateZ.quat,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw
69530,29,53,9796,3767536641,0,2,0
69630,40,-2,9785,3765440513,-3,0,3
69730,4,-99,9811,3762293761,0,1,-2
69830,12,-165,9789,3759148033,-2,3,0
69930,-24,-119,9794,3761244161,0,1,0
70030,-25,-80,9799,3762291713,0,-2,1
70130,-11,-28,9798,3764389889,-4,0,0
70230,6,-21,9826,3765439489,1,0,-1
70330,-26,32,9805,3767534593,0,-4,3
70430,45,-84,9819,3762294785,0,4,-1
70533,64,-253,9749,3762293761,24,21,14
70630,-61,-2,10125,3763341314,13,-4,60
70733,35,502,9795,3768058887,-7,77,93
70833,-257,-124,10461,3224900618,1077,622,-24
70931,-306,-966,11050,3254259721,-586,-160,-34
71033,-109,-659,11479,3244819464,1,-53,-115
71131,-179,-217,11109,3231186948,-538,-28,-77
71230,63,393,10645,3767539716,-523,-201,42
71330,207,796,10059,3782224902,-185,-249,55
71430,348,871,9603,3784326151,104,-61,22
71530,302,525,8981,3782232072,131,71,-9
71630,300,349,8915,3773841415,130,27,-28
71730,171,129,8830,3766499335,184,130,-1
71830,152,-52,8930,3760203783,99,150,5
71930,2,-149,9308,3225425926,159,88,10
72030,-119,-236,9408,3228567558,74,87,4
72130,-225,-599,9148,3231188998,18,83,-6
72230,-190,-254,9627,3230142470,-11,17,-7
72330,-252,-22,9725,3228045318,-57,-60,3
72430,-270,164,9955,3226993670,-63,-56,6
72530,-163,-69,9985,3223324678,24,-100,10
72631,51,-58,9701,3222280198,-88,14,-14
72730,25,16,9564,3760198662,-87,95,-8
72830,-130,-13,9419,3761766405,70,-158,-23
72930,404,-68,9451,3223341060,31,-164,-10
73030,552,-64,10017,3223346180,187,-146,-7
73130,384,-77,10677,3226491908,-36,-1,-6
73230,400,-242,10246,3227540484,-41,55,-6
73330,450,-149,9669,3224391684,-12,58,-3
73430,206,31,9551,3224389636,-83,95,-6
73530,117,45,9683,3222289411,-22,102,1
73630,-32,73,9564,3760202755,-91,387,-4
73730,-382,131,9016,3763867651,-92,234,-25
73830,-799,124,9394,3767024642,107,-337,0
73930,35,15,10689,3758110722,89,-348,17
74030,536,-65,10678,3224397826,141,-400,1
74130,721,0,10275,3226501122,34,-41,-16
74230,549,-132,9755,3226499074,-61,224,-5
74330,107,-89,9419,3224393729,-58,208,18
74430,-92,-110,9581,3222284290,-79,322,18
74530,-264,145,9322,3759145986,-136,298,-6
74630,-761,362,9101,3763876866,-63,336,-2
74730,-955,128,9363,3765983234,54,134,-15
74830,-1178,-63,9856,3764937730,70,-339,6
74930,-739,169,10431,3760736258,60,-162,2
75030,-484,44,10996,3224899586,120,-474,-7
75130,-402,-218,10492,3224373249,38,-141,-18
75230,-271,-250,9672,3225423873,-36,112,13
75330,-353,-80,9565,3224896513,-31,176,3
75430,-456,-102,9244,3223853057,-19,149,0
75530,-747,-158,9630,3222811648,-80,169,0
75630,-928,-233,9763,3758640129,-40,55,22
75730,-760,-65,9730,3221770240,60,17,-1
75830,-801,187,9871,3221771264,-7,8,11
75930,-596,169,9711,3221772289,-46,8,20
76030,-955,20,9904,3759690753,-4,-37,7
76130,-857,-194,9766,3760737281,-86,-2,-15
76230,-639,-130,9770,3760736257,33,-75,-24
76330,-679,-49,9781,3760734208,-55,3,0
76430,-601,-62,9766,3761781248,22,-111,-14
76530,-363,-135,9587,3759677440,-35,-55,-1
76630,-498,239,9695,3761776129,8,12,-32
76730,-527,349,9819,3761777153,-33,-55,31
76830,-615,130,9488,3758628865,-85,-39,54
76930,-316,15,9271,3760721922,198,-238,34
77030,3,100,8172,3223326723,-373,295,-41
77130,-424,188,7374,3771216899,287,150,-15
77230,-370,-73,7465,3761781761,17,-475,-71
77330,-23,4,8423,3223326209,107,20,-20
77430,150,-336,10322,3225428481,289,-122,28
77530,-89,-286,6249,3240101888,580,536,69
77630,12522,17902,-18949,3270007810,-13654,-10083,-304
77730,260,860,4477,3302590480,-2045,-1721,-33
77833,358,44,-467,3231715343,492,-825,740
77932,-117,-155,9855,3225425940,-10,3,56
78032,-48,-97,9616,3225425940,-2,-3,-15
78132,-85,145,9794,3760199700,9,6,-62
78231,-85,115,9814,3761249300,0,0,-13
78331,-135,11,9798,3760200724,-5,22,-30
78431,140,-29,9877,3760199700,7,-8,4
78531,9,0,9828,3762295828,-1,2,-11
78630,94,-10,9820,3761250324,3,0,-2
78730,-59,-13,9826,3761247252,1,0,2
78830,-31,-30,9819,3760199700,-2,0,-3
78930,19,43,9809,3763347476,-2,-3,0
79030,26,-35,9824,3761250324,2,6,0
79130,20,-15,9818,3761250324,4,-6,0
79230,18,-25,9829,3761250325,0,3,-5
79330,-74,-30,9802,3761247252,0,1,0
79430,-82,-121,9822,3222278164,1,-2,1
79530,-13,-45,9793,3761248276,0,-1,0
79630,-39,33,9814,3763345428,3,0,-1
79730,-60,48,9827,3764392980,-1,2,3
79830,-33,53,9819,3764394004,-2,1,0
79930,-69,45,9814,3764392980,-3,1,2
