timestamp,twr.rangingSuccessRate0,twr.rangingPerSec0,twr.rangingSuccessRate1,twr.rangingPerSec1,twr.rangingSuccessRate2,twr.rangingPerSec2,twr.rangingSuccessRate3,twr.rangingPerSec3,twr.rangingSuccessRate4,twr.rangingPerSec4,twr.rangingSuccessRate5,twr.rangingPerSec5
69536,0,0,0,0,0,0,0,0,0,0,0,0
69636,0,0,0,0,0,0,0,0,0,0,0,0
69736,0,0,0,0,0,0,0,0,0,0,0,0
69836,0,0,0,0,0,0,0,0,0,0,0,0
69936,0,0,0,0,0,0,0,0,0,0,0,0
70036,0,0,0,0,0,0,0,0,0,0,0,0
70136,0,0,0,0,0,0,0,0,0,0,0,0
70236,0,0,0,0,0,0,0,0,0,0,0,0
70336,0,0,0,0,0,0,0,0,0,0,0,0
70436,0,0,0,0,0,0,0,0,0,0,0,0
70536,0,0,0,0,0,0,0,0,0,0,0,0
70636,0,0,0,0,0,0,0,0,0,0,0,0
70736,0,0,0,0,0,0,0,0,0,0,0,0
70836,0,0,0,0,0,0,0,0,0,0,0,0
70936,0,0,0,0,0,0,0,0,0,0,0,0
71036,0,0,0,0,0,0,0,0,0,0,0,0
71136,0,0,0,0,0,0,0,0,0,0,0,0
71236,0,0,0,0,0,0,0,0,0,0,0,0
71336,0,0,0,0,0,0,0,0,0,0,0,0
71436,0,0,0,0,0,0,0,0,0,0,0,0
71536,0,0,0,0,0,0,0,0,0,0,0,0
71636,0,0,0,0,0,0,0,0,0,0,0,0
71736,0,0,0,0,0,0,0,0,0,0,0,0
71836,0,0,0,0,0,0,0,0,0,0,0,0
71936,0,0,0,0,0,0,0,0,0,0,0,0
72036,0,0,0,0,0,0,0,0,0,0,0,0
72136,0,0,0,0,0,0,0,0,0,0,0,0
72236,0,0,0,0,0,0,0,0,0,0,0,0
72336,0,0,0,0,0,0,0,0,0,0,0,0
72436,0,0,0,0,0,0,0,0,0,0,0,0
72536,0,0,0,0,0,0,0,0,0,0,0,0
72636,0,0,0,0,0,0,0,0,0,0,0,0
72736,0,0,0,0,0,0,0,0,0,0,0,0
72836,0,0,0,0,0,0,0,0,0,0,0,0
72936,0,0,0,0,0,0,0,0,0,0,0,0
73036,0,0,0,0,0,0,0,0,0,0,0,0
73136,0,0,0,0,0,0,0,0,0,0,0,0
73236,0,0,0,0,0,0,0,0,0,0,0,0
73336,0,0,0,0,0,0,0,0,0,0,0,0
73436,0,0,0,0,0,0,0,0,0,0,0,0
73536,0,0,0,0,0,0,0,0,0,0,0,0
73636,0,0,0,0,0,0,0,0,0,0,0,0
73736,0,0,0,0,0,0,0,0,0,0,0,0
73836,0,0,0,0,0,0,0,0,0,0,0,0
73936,0,0,0,0,0,0,0,0,0,0,0,0
74036,0,0,0,0,0,0,0,0,0,0,0,0
74136,0,0,0,0,0,0,0,0,0,0,0,0
74236,0,0,0,0,0,0,0,0,0,0,0,0
74336,0,0,0,0,0,0,0,0,0,0,0,0
74436,0,0,0,0,0,0,0,0,0,0,0,0
74536,0,0,0,0,0,0,0,0,0,0,0,0
74636,0,0,0,0,0,0,0,0,0,0,0,0
74736,0,0,0,0,0,0,0,0,0,0,0,0
74836,0,0,0,0,0,0,0,0,0,0,0,0
74936,0,0,0,0,0,0,0,0,0,0,0,0
75036,0,0,0,0,0,0,0,0,0,0,0,0
75139,0,0,0,0,0,0,0,0,0,0,0,0
75236,0,0,0,0,0,0,0,0,0,0,0,0
75338,0,0,0,0,0,0,0,0,0,0,0,0
75438,0,0,0,0,0,0,0,0,0,0,0,0
75538,0,0,0,0,0,0,0,0,0,0,0,0
75638,0,0,0,0,0,0,0,0,0,0,0,0
75738,0,0,0,0,0,0,0,0,0,0,0,0
75837,0,0,0,0,0,0,0,0,0,0,0,0
