timestamp,lighthouse.width3,lighthouse.comSync,lighthouse.bsReceive,lighthouse.bsActive,lighthouse.bsCalUd,lighthouse.bsCalCon,lighthouse.status,lighthouse.posRt,lighthouse.estBs0Rt,lighthouse.estBs1Rt
154942,218,1,1,1,0,3,2,430.3545837402344,245.87265014648438,184.48193359375
155042,215,1,3,3,0,3,2,430.3545837402344,245.87265014648438,184.48193359375
155142,214,1,3,3,0,3,2,430.3545837402344,245.87265014648438,184.48193359375
155242,215,1,3,3,0,3,2,430.3545837402344,245.87265014648438,184.48193359375
155342,217,1,3,3,0,3,2,430.3545837402344,245.87265014648438,184.48193359375
155442,218,1,3,3,0,3,2,430.3545837402344,245.87265014648438,184.48193359375
155542,215,1,1,1,0,3,2,430.3545837402344,399.9999694824219,40.0
155642,216,1,1,1,0,3,2,430.3545837402344,399.9999694824219,40.0
155742,219,1,1,1,0,3,2,430.3545837402344,399.9999694824219,40.0
155842,218,1,1,1,0,3,2,430.3545837402344,399.9999694824219,40.0
155942,217,1,3,3,0,3,2,430.3545837402344,399.9999694824219,40.0
156042,214,1,3,3,0,3,2,443.6363525390625,399.9999694824219,40.0
156142,216,1,3,3,0,3,2,443.6363525390625,399.9999694824219,66.66666412353516
156242,218,1,3,3,0,3,2,443.6363525390625,399.9999694824219,66.66666412353516
156342,215,1,3,3,0,3,2,443.6363525390625,399.9999694824219,66.66666412353516
156442,214,1,3,3,0,3,2,443.6363525390625,399.9999694824219,66.66666412353516
156545,402,1,3,3,0,3,2,443.6363525390625,399.9999694824219,66.66666412353516
156645,413,1,3,3,0,3,2,443.6363525390625,365.8051452636719,270.3777160644531
156744,401,1,3,3,0,3,2,443.6363525390625,365.8051452636719,270.3777160644531
156845,438,1,3,3,0,3,2,443.6363525390625,365.8051452636719,270.3777160644531
156944,438,1,3,3,0,3,2,443.6363525390625,365.8051452636719,270.3777160644531
157044,450,1,3,3,0,3,2,678.6427612304688,365.8051452636719,270.3777160644531
157144,470,1,3,3,0,3,2,678.6427612304688,365.8051452636719,270.3777160644531
157243,466,1,3,3,0,3,2,678.6427612304688,401.3377990722656,347.8260803222656
157343,463,1,3,3,0,3,2,678.6427612304688,401.3377990722656,347.8260803222656
157443,476,1,3,3,0,3,2,678.6427612304688,401.3377990722656,347.8260803222656
157542,463,1,3,3,0,3,2,678.6427612304688,401.3377990722656,347.8260803222656
157642,461,1,3,3,0,3,2,678.6427612304688,401.3377990722656,347.8260803222656
157742,461,1,1,1,0,3,2,678.6427612304688,401.3377990722656,347.8260803222656
157842,459,1,1,1,0,3,2,678.6427612304688,400.66778564453125,106.84474182128906
157942,473,1,3,3,0,3,2,678.6427612304688,400.66778564453125,106.84474182128906
158042,480,1,3,3,0,3,2,678.6427612304688,400.66778564453125,106.84474182128906
158142,470,1,3,3,0,3,2,553.7340087890625,400.66778564453125,106.84474182128906
158242,468,1,3,3,0,3,2,553.7340087890625,400.66778564453125,106.84474182128906
158342,477,1,3,3,0,3,2,553.7340087890625,400.66778564453125,106.84474182128906
158442,469,1,3,3,0,3,2,553.7340087890625,399.9999694824219,93.33332824707031
158542,471,1,3,3,0,3,2,553.7340087890625,399.9999694824219,93.33332824707031
158642,454,1,3,3,0,3,2,553.7340087890625,399.9999694824219,93.33332824707031
158742,462,1,3,3,0,3,2,553.7340087890625,399.9999694824219,93.33332824707031
158842,462,1,3,3,0,3,2,553.7340087890625,399.9999694824219,93.33332824707031
158942,446,1,3,3,0,3,2,553.7340087890625,399.9999694824219,93.33332824707031
159042,436,1,3,3,0,3,2,553.7340087890625,386.6666564941406,386.6666564941406
159142,423,1,3,3,0,3,2,553.7340087890625,386.6666564941406,386.6666564941406
159242,423,1,3,3,0,3,2,676.3636474609375,386.6666564941406,386.6666564941406
159342,403,1,3,3,0,3,2,676.3636474609375,386.6666564941406,386.6666564941406
159442,407,1,3,3,0,3,2,676.3636474609375,386.6666564941406,386.6666564941406
159542,381,1,3,3,0,3,2,676.3636474609375,386.6666564941406,386.6666564941406
159642,373,1,3,3,0,3,2,676.3636474609375,213.3333282470703,253.3333282470703
159742,361,1,3,3,0,3,2,676.3636474609375,213.3333282470703,253.3333282470703
159842,347,1,3,3,0,3,2,676.3636474609375,213.3333282470703,253.3333282470703
159942,332,1,3,3,0,3,2,676.3636474609375,213.3333282470703,253.3333282470703
160042,328,1,3,3,0,3,2,676.3636474609375,213.3333282470703,253.3333282470703
160142,312,1,3,3,0,3,2,676.3636474609375,213.3333282470703,253.3333282470703
160242,307,1,3,3,0,3,2,676.3636474609375,399.9999694824219,373.33331298828125
160342,300,1,3,3,0,3,2,603.6363525390625,399.9999694824219,373.33331298828125
160442,301,1,3,3,0,3,2,603.6363525390625,399.9999694824219,373.33331298828125
160542,281,1,3,3,0,3,2,603.6363525390625,399.9999694824219,373.33331298828125
160642,273,1,3,3,0,3,2,603.6363525390625,399.9999694824219,373.33331298828125
160742,269,1,3,3,0,3,2,603.6363525390625,399.9999694824219,373.33331298828125
160842,268,1,3,3,0,3,2,603.6363525390625,239.99998474121094,373.33331298828125
160942,269,1,3,3,0,3,2,603.6363525390625,239.99998474121094,373.33331298828125
161042,257,1,3,3,0,3,2,603.6363525390625,239.99998474121094,373.33331298828125
